date,cases
2019-09-12,5.0
2019-09-13,11.0
2019-09-14,7.0
2019-09-15,1.0
2019-09-16,5.0
2019-09-17,7.0
2019-09-18,5.0
2019-09-19,4.0
2019-09-20,3.0
2019-09-21,2.0
2019-09-22,3.0
2019-09-23,15.0
2019-09-24,5.0
2019-09-25,10.0
2019-09-26,6.0
2019-09-27,6.0
2019-09-28,2.0
2019-09-29,4.0
2019-09-30,9.0
2019-10-01,5.0
2019-10-02,9.0
2019-10-03,3.0
2019-10-04,6.0
2019-10-05,5.0
2019-10-06,6.0
2019-10-07,5.0
2019-10-08,6.0
2019-10-09,10.0
2019-10-10,7.0
2019-10-11,11.0
2019-10-12,4.0
2019-10-13,3.0
2019-10-14,11.0
2019-10-15,8.0
2019-10-16,10.0
2019-10-17,11.0
2019-10-18,10.0
2019-10-19,9.0
2019-10-20,6.0
2019-10-21,10.0
2019-10-22,12.0
2019-10-23,8.0
2019-10-24,6.0
2019-10-25,5.0
2019-10-26,7.0
2019-10-27,2.0
2019-10-28,3.0
2019-10-29,11.0
2019-10-30,6.0
2019-10-31,12.0
2019-11-01,5.0
2019-11-02,6.0
2019-11-03,7.0
2019-11-04,8.0
2019-11-05,9.0
2019-11-06,3.0
2019-11-07,12.0
2019-11-08,3.0
2019-11-09,2.0
2019-11-10,6.0
2019-11-11,13.0
2019-11-12,10.0
2019-11-13,7.0
2019-11-14,3.0
2019-11-15,8.0
2019-11-16,7.0
2019-11-17,9.0
2019-11-18,15.0
2019-11-19,9.0
2019-11-20,8.0
2019-11-21,6.0
2019-11-22,9.0
2019-11-23,7.0
2019-11-24,4.0
2019-11-25,12.0
2019-11-26,8.0
2019-11-27,8.0
2019-11-28,4.0
2019-11-29,8.0
2019-11-30,5.0
2019-12-01,8.0
2019-12-02,12.0
2019-12-03,6.0
2019-12-04,9.0
2019-12-05,10.0
2019-12-06,12.0
2019-12-07,7.0
2019-12-08,6.0
2019-12-09,16.0
2019-12-10,9.0
2019-12-11,8.0
2019-12-12,11.0
2019-12-13,8.0
2019-12-14,6.0
2019-12-15,3.0
2019-12-16,11.0
2019-12-17,11.0
2019-12-18,9.0
2019-12-19,12.0
2019-12-20,3.0
2019-12-21,2.0
2019-12-22,3.0
2019-12-23,15.0
2019-12-24,11.0
2019-12-25,8.0
2019-12-26,8.0
2019-12-27,13.0
2019-12-28,5.0
2019-12-29,5.0
2019-12-30,15.0
2019-12-31,11.0
2020-01-01,4.0
2020-01-02,19.0
2020-01-03,8.0
2020-01-04,8.0
2020-01-05,7.0
2020-01-06,14.0
2020-01-07,12.0
2020-01-08,16.0
2020-01-09,9.0
2020-01-10,8.0
2020-01-11,7.0
2020-01-12,9.0
2020-01-13,17.0
2020-01-14,11.0
2020-01-15,14.0
2020-01-16,10.0
2020-01-17,4.0
2020-01-18,7.0
2020-01-19,6.0
2020-01-20,10.0
2020-01-21,12.0
2020-01-22,4.0
2020-01-23,13.0
2020-01-24,15.0
2020-01-25,5.0
2020-01-26,10.0
2020-01-27,12.0
2020-01-28,10.0
2020-01-29,10.0
2020-01-30,8.0
2020-01-31,9.0
2020-02-01,10.0
2020-02-02,8.0
2020-02-03,15.0
2020-02-04,5.0
2020-02-05,9.0
2020-02-06,14.0
2020-02-07,11.0
2020-02-08,1.0
2020-02-09,5.0
2020-02-10,10.0
2020-02-11,16.0
2020-02-12,8.0
2020-02-13,8.0
2020-02-14,13.0
2020-02-15,8.0
2020-02-16,11.0
2020-02-17,10.0
2020-02-18,18.0
2020-02-19,11.0
2020-02-20,9.0
2020-02-21,6.0
2020-02-22,11.0
2020-02-23,4.0
2020-02-24,16.0
2020-02-25,18.0
2020-02-26,10.0
2020-02-27,7.0
2020-02-28,16.0
2020-02-29,6.0
2020-03-01,5.0
2020-03-02,15.0
2020-03-03,12.0
2020-03-04,7.0
2020-03-05,6.0
2020-03-06,5.0
2020-03-07,7.0
2020-03-08,5.0
2020-03-09,10.0
2020-03-10,14.0
2020-03-11,12.0
2020-03-12,2.0
2020-03-13,4.0
2020-03-14,2.0
2020-03-15,4.0
2020-03-16,4.0
2020-03-17,3.0
2020-03-18,6.0
2020-03-19,4.0
2020-03-20,2.0
2020-03-21,0.0
2020-03-22,1.0
2020-03-23,4.0
2020-03-24,3.0
2020-03-25,3.0
2020-03-26,1.0
2020-03-27,5.0
2020-03-28,1.0
2020-03-29,4.0
2020-03-30,8.0
2020-03-31,7.0
2020-04-01,4.0
2020-04-02,3.0
2020-04-03,3.0
2020-04-04,2.0
2020-04-05,2.0
2020-04-06,4.0
2020-04-07,8.0
2020-04-08,4.0
2020-04-09,5.0
2020-04-10,3.0
2020-04-11,0.0
2020-04-12,0.0
2020-04-13,5.0
2020-04-14,2.0
2020-04-15,4.0
2020-04-16,2.0
2020-04-17,2.0
2020-04-18,3.0
2020-04-19,0.0
2020-04-20,7.0
2020-04-21,2.0
2020-04-22,5.0
2020-04-23,2.0
2020-04-24,4.0
2020-04-25,1.0
2020-04-26,1.0
2020-04-27,2.0
2020-04-28,5.0
2020-04-29,3.0
2020-04-30,4.0
2020-05-01,4.0
2020-05-02,1.0
2020-05-03,2.0
2020-05-04,6.0
2020-05-05,5.0
2020-05-06,3.0
2020-05-07,4.0
2020-05-08,1.0
2020-05-09,1.0
2020-05-10,4.0
2020-05-11,7.0
2020-05-12,2.0
2020-05-13,1.0
2020-05-14,2.0
2020-05-15,3.0
2020-05-16,1.0
2020-05-17,2.0
2020-05-18,3.0
2020-05-19,3.0
2020-05-20,6.0
2020-05-21,3.0
2020-05-22,4.0
2020-05-23,0.0
2020-05-24,0.0
2020-05-25,1.0
2020-05-26,9.0
2020-05-27,2.0
2020-05-28,3.0
2020-05-29,1.0
2020-05-30,0.0
2020-05-31,1.0
2020-06-01,6.0
2020-06-02,4.0
2020-06-03,4.0
2020-06-04,3.0
2020-06-05,2.0
2020-06-06,0.0
2020-06-07,2.0
2020-06-08,4.0
2020-06-09,5.0
2020-06-10,6.0
2020-06-11,3.0
2020-06-12,1.0
2020-06-13,2.0
2020-06-14,2.0
2020-06-15,4.0
2020-06-16,6.0
2020-06-17,5.0
2020-06-18,1.0
2020-06-19,4.0
2020-06-20,0.0
2020-06-21,2.0
2020-06-22,3.0
2020-06-23,6.0
2020-06-24,1.0
2020-06-25,3.0
2020-06-26,2.0
2020-06-27,3.0
2020-06-28,4.0
2020-06-29,8.0
2020-06-30,7.0
2020-07-01,11.0
2020-07-02,2.0
2020-07-03,4.0
2020-07-04,2.0
2020-07-05,3.0
2020-07-06,4.0
2020-07-07,1.0
2020-07-08,5.0
2020-07-09,5.0
2020-07-10,2.0
2020-07-11,1.0
2020-07-12,2.0
2020-07-13,8.0
2020-07-14,5.0
2020-07-15,6.0
2020-07-16,7.0
2020-07-17,4.0
2020-07-18,2.0
2020-07-19,1.0
2020-07-20,12.0
2020-07-21,7.0
2020-07-22,4.0
2020-07-23,4.0
2020-07-24,9.0
2020-07-25,0.0
2020-07-26,4.0
2020-07-27,5.0
2020-07-28,8.0
2020-07-29,5.0
2020-07-30,10.0
2020-07-31,4.0
2020-08-01,0.0
2020-08-02,3.0
2020-08-03,6.0
2020-08-04,6.0
2020-08-05,5.0
2020-08-06,4.0
2020-08-07,11.0
2020-08-08,1.0
2020-08-09,0.0
2020-08-10,6.0
2020-08-11,6.0
2020-08-12,5.0
2020-08-13,2.0
2020-08-14,2.0
2020-08-15,7.0
2020-08-16,5.0
2020-08-17,5.0
2020-08-18,9.0
2020-08-19,10.0
2020-08-20,3.0
2020-08-21,7.0
2020-08-22,1.0
2020-08-23,1.0
2020-08-24,6.0
2020-08-25,10.0
2020-08-26,4.0
2020-08-27,4.0
2020-08-28,3.0
2020-08-29,4.0
2020-08-30,5.0
2020-08-31,2.0
2020-09-01,9.0
2020-09-02,14.0
2020-09-03,4.0
2020-09-04,3.0
2020-09-05,2.0
2020-09-06,2.0
2020-09-07,6.0
2020-09-08,3.0
2020-09-09,5.0
2020-09-10,3.0
2020-09-11,3.0
2020-09-12,3.0
2020-09-13,2.0
2020-09-14,4.0
2020-09-15,6.0
2020-09-16,4.0
2020-09-17,3.0
2020-09-18,4.0
2020-09-19,5.0
2020-09-20,6.0
2020-09-21,6.0
2020-09-22,3.0
2020-09-23,8.0
2020-09-24,4.0
2020-09-25,4.0
2020-09-26,3.0
2020-09-27,2.0
2020-09-28,10.0
2020-09-29,8.0
2020-09-30,9.0
2020-10-01,4.0
2020-10-02,3.0
2020-10-03,0.0
2020-10-04,1.0
2020-10-05,5.0
2020-10-06,6.0
2020-10-07,5.0
2020-10-08,2.0
2020-10-09,8.0
2020-10-10,1.0
2020-10-11,2.0
2020-10-12,4.0
2020-10-13,5.0
2020-10-14,5.0
2020-10-15,8.0
2020-10-16,4.0
2020-10-17,5.0
2020-10-18,2.0
2020-10-19,4.0
2020-10-20,6.0
2020-10-21,0.0
2020-10-22,3.0
2020-10-23,4.0
2020-10-24,4.0
2020-10-25,1.0
2020-10-26,2.0
2020-10-27,7.0
2020-10-28,7.0
2020-10-29,7.0
2020-10-30,3.0
2020-10-31,2.0
2020-11-01,1.0
2020-11-02,7.0
2020-11-03,3.0
2020-11-04,3.0
2020-11-05,8.0
2020-11-06,6.0
2020-11-07,3.0
2020-11-08,4.0
2020-11-09,6.0
2020-11-10,4.0
2020-11-11,7.0
2020-11-12,4.0
2020-11-13,3.0
2020-11-14,2.0
2020-11-15,1.0
2020-11-16,4.0
2020-11-17,8.0
2020-11-18,7.0
2020-11-19,2.0
2020-11-20,6.0
2020-11-21,0.0
2020-11-22,2.0
2020-11-23,6.0
2020-11-24,1.0
2020-11-25,6.0
2020-11-26,1.0
2020-11-27,2.0
2020-11-28,9.0
2020-11-29,0.0
2020-11-30,5.0
2020-12-01,11.0
2020-12-02,3.0
2020-12-03,1.0
2020-12-04,4.0
2020-12-05,3.0
2020-12-06,3.0
2020-12-07,5.0
2020-12-08,4.0
2020-12-09,4.0
2020-12-10,9.0
2020-12-11,4.0
2020-12-12,3.0
2020-12-13,1.0
2020-12-14,5.0
2020-12-15,7.0
2020-12-16,5.0
2020-12-17,2.0
2020-12-18,6.0
2020-12-19,1.0
2020-12-20,4.0
2020-12-21,7.0
2020-12-22,2.0
2020-12-23,3.0
2020-12-24,2.0
2020-12-25,2.0
2020-12-26,7.0
2020-12-27,2.0
2020-12-28,6.0
2020-12-29,10.0
2020-12-30,7.0
2020-12-31,7.0
2021-01-01,3.0
2021-01-02,4.0
2021-01-03,0.0
2021-01-04,5.0
2021-01-05,9.0
2021-01-06,6.0
2021-01-07,1.0
2021-01-08,5.0
2021-01-09,2.0
2021-01-10,2.0
2021-01-11,7.0
2021-01-12,4.0
2021-01-13,1.0
2021-01-14,2.0
2021-01-15,2.0
2021-01-16,1.0
2021-01-17,3.0
2021-01-18,3.0
2021-01-19,7.0
2021-01-20,5.0
2021-01-21,8.0
2021-01-22,4.0
2021-01-23,2.0
2021-01-24,3.0
2021-01-25,9.0
2021-01-26,6.0
2021-01-27,7.0
2021-01-28,3.0
2021-01-29,5.0
2021-01-30,1.0
2021-01-31,5.0
2021-02-01,8.0
2021-02-02,2.0
2021-02-03,4.0
2021-02-04,7.0
2021-02-05,6.0
2021-02-06,1.0
2021-02-07,4.0
2021-02-08,10.0
2021-02-09,0.0
2021-02-10,3.0
2021-02-11,6.0
2021-02-12,2.0
2021-02-13,3.0
2021-02-14,2.0
2021-02-15,4.0
2021-02-16,5.0
2021-02-17,6.0
2021-02-18,7.0
2021-02-19,5.0
2021-02-20,3.0
2021-02-21,2.0
2021-02-22,8.0
2021-02-23,8.0
2021-02-24,4.0
2021-02-25,4.0
2021-02-26,10.0
2021-02-27,4.0
2021-02-28,4.0
2021-03-01,10.0
2021-03-02,5.0
2021-03-03,4.0
